number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
39,16.21055583945081,small,0.7505006544913512,True,False,False,True,False,True,False,True,True,True,False,,0.03404192205139535,5,39,0.1191630409694682,498,72,none,7.038822742766343e-06,1.5222520569877395e-06,none,n_panels,0.6699804883198484,True,False,COMPLETE
40,24.982772259780592,none,0.822304161342957,False,False,True,False,True,False,False,False,False,False,True,1.0,0.12039726317624615,9,52,0.17307408220147752,566,76,large,3.4590830571265695e-08,0.25475262512404,small,mean,0.5318356076437355,False,True,COMPLETE
41,16.119381367518113,small,0.7166662003885665,False,False,True,False,True,False,True,False,False,True,False,,0.029669974566849184,8,81,0.03686801031872999,444,24,none,0.001368977137722902,4.039394623240861e-06,large,max,0.6393640291693838,False,True,COMPLETE
42,16.140577078790077,small,0.6258719632890065,False,False,True,False,True,False,True,False,False,True,False,,0.017590489449392257,8,83,0.022058576715547194,396,27,none,0.00026402573572884697,0.0001534440165283621,large,max,0.6892784639033351,False,True,COMPLETE
43,16.263822389042897,small,0.5704550162853008,False,False,True,False,True,False,True,False,False,True,False,,0.016748897180993975,7,99,0.021989818835767436,353,59,none,0.0003335925684245681,0.0101954261010919,large,max,0.6931457048443694,False,True,COMPLETE
44,16.157894817668076,small,0.6339893045384823,False,False,True,False,True,False,True,False,False,True,False,,0.02082771361289232,10,82,0.0955875999875741,381,28,none,0.002075170875192566,0.00014451202816541083,large,distance_capacity,0.6254889929582713,False,True,COMPLETE
45,16.580042212042464,small,0.6847449504376686,False,False,True,False,False,False,True,False,True,True,False,,0.012521713564400749,15,88,0.020200990576872583,412,19,none,0.00010822423918806731,0.0005630737180453263,large,distance_n_panels,0.5960220696449566,False,True,COMPLETE
46,17.30760539608634,small,0.5559702843705969,False,True,True,True,True,True,True,False,False,False,False,,0.010446435823124772,8,69,0.42781872712775615,344,52,small,0.006250553724087479,1.0103966560314292e-05,medium,max,0.8079946743960494,False,True,COMPLETE
47,19.515591981802647,small,0.7147129039663788,True,False,True,False,True,False,True,True,False,True,True,6.0,0.014497206577619657,9,89,0.07229659687255374,619,32,none,2.570388979840414e-07,2.4646560208040653e-05,small,max,0.6882633212009204,False,False,COMPLETE
48,18.54062605322898,medium,0.6170337681423604,False,False,True,False,True,False,False,False,False,True,False,12.0,0.04104013167338414,11,82,0.1214923152139136,508,46,none,0.019023740431426746,0.002170074811732994,large,capacity,0.5576680419225469,False,True,COMPLETE
49,16.720635386957436,large,0.6469765365460509,False,False,True,False,False,False,True,False,True,True,False,,0.02653415272342986,5,96,0.029195500817186342,764,64,none,4.693985455516787e-05,0.02615535836174102,none,None,0.6403470043009005,True,True,COMPLETE
50,17.17231625341249,small,0.5010300109122173,False,False,False,True,True,True,True,False,False,False,True,,0.08206707201410735,6,75,0.3435073880150873,478,109,none,0.07171719437683219,0.00018566995620771646,medium,distance_n_panels,0.8782498339575744,False,True,COMPLETE
51,16.2175023428866,small,0.5788964213818808,False,False,True,False,True,False,True,False,False,True,False,,0.02170682737982117,10,81,0.08918105173429686,403,27,none,0.002662939553952612,0.0005807274518490632,large,distance_capacity,0.6210193062816607,False,True,COMPLETE
52,16.42373344670975,small,0.6359462125727682,False,False,True,False,True,False,True,False,False,True,False,,0.020282146806606498,8,87,0.06281927724709502,342,16,none,0.0002876664994331237,0.00013190507130841556,large,distance_capacity,0.6291301569758903,False,True,COMPLETE
53,16.128332982966782,small,0.6603567778312309,False,False,True,False,True,False,True,False,False,True,False,,0.017946508874160747,13,83,0.09741179039413761,388,36,none,0.0014788907426010445,7.98678527090077e-05,large,distance_capacity,0.589817998056537,False,True,COMPLETE
54,16.90618887783704,small,0.6642732567800885,False,False,True,False,True,False,True,False,False,True,False,,0.017075366443407704,15,68,0.0034806659163886602,442,10,none,2.394517719216437e-08,4.672923300190031e-05,large,distance_capacity,0.5860842396806842,False,True,COMPLETE
55,20.62623160074445,small,0.706906951013174,False,False,True,False,True,False,True,False,False,True,False,1.0,0.013164314249339785,16,74,0.4953803742102007,811,37,none,0.0011747062723701479,0.0045979359503168764,large,distance_capacity,0.5597282984006233,False,True,COMPLETE
56,16.52605928583416,small,0.7311260095258187,False,False,True,False,True,False,True,False,False,True,False,,0.15331604769346516,13,60,0.04341969418813601,537,84,none,0.0005561553980047748,0.001174236064445197,small,max,0.6573765336181726,False,True,COMPLETE
57,16.01017344997199,small,0.5941702384483196,False,False,True,False,True,False,False,False,False,True,False,,0.0157114758478648,13,84,0.14948611129732564,646,40,large,0.00019303232673093982,1.5488384432946402e-05,large,idw,0.7069543366141248,False,True,COMPLETE
