date,hard_coal_tenn_actual,gas_tenn_actual,biomass_tenn_actual,pumped_storage_tenn_actual,hydro_tenn_actual,other_conv_tenn_actual,other_renew_tenn_actual,hard_coal_tenn_fitted,gas_tenn_fitted,biomass_tenn_fitted,pumped_storage_tenn_fitted,hydro_tenn_fitted,other_conv_tenn_fitted,other_renew_tenn_fitted,hard_coal_tenn_lower,gas_tenn_lower,biomass_tenn_lower,pumped_storage_tenn_lower,hydro_tenn_lower,other_conv_tenn_lower,other_renew_tenn_lower,hard_coal_tenn_upper,gas_tenn_upper,biomass_tenn_upper,pumped_storage_tenn_upper,hydro_tenn_upper,other_conv_tenn_upper,other_renew_tenn_upper,cutoff,hours_ahead
2026-03-07 07:00:00+00:00,1100.05,1380.5,2290.72,213.98,633.96,310.43,28.71,532.0464279783276,1869.8050277249945,1896.9850729498557,154.51555351688432,917.7458370104175,274.0725966822179,33.20725492346479,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,151
2026-03-07 08:00:00+00:00,1172.57,1111.09,2235.34,45.539993,680.21,315.08,28.71,504.16323441775273,1705.6174147768497,1875.4261983501226,162.00263453065423,921.1641464899202,274.0725966822179,32.87393426692945,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,152
2026-03-07 09:00:00+00:00,1227.16,776.0399,2128.64,1.1900036,700.39,311.78,28.71,488.80536927828433,1537.567976795688,1851.7907297754323,169.48971554442412,925.076418581061,274.0725966822179,32.390255702802676,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,153
2026-03-07 10:00:00+00:00,1154.76,636.67993,2053.41,1.1600049,712.7,304.38,28.71,474.49792001789115,1410.0782761837318,1834.2826534304434,176.976796558194,928.002689460657,274.0725966822179,32.05558719184027,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,154
2026-03-07 11:00:00+00:00,1235.83,636.4199,2006.81,1.1600049,704.4,305.81,28.71,467.3775104425758,1360.7156455812335,1828.9421053962376,184.46387757196388,930.2208870693921,274.0725966822179,31.80660628576729,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,155
2026-03-07 12:00:00+00:00,1228.88,632.75,1996.29,1.1600049,699.06,305.81,28.71,469.92615897865863,1386.6481561092844,1834.7761749831307,191.9509585857338,931.9699226245332,274.0725966822179,31.55762665352074,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,156
2026-03-07 13:00:00+00:00,1156.31,633.07996,2007.99,1.1600049,681.67,305.78,28.71,479.7855765540832,1446.8586759333218,1849.102103685938,199.43803959950367,932.6595209019991,274.0725966822179,31.454962583678107,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,157
2026-03-07 14:00:00+00:00,826.12,801.88,2046.03,1.2599957,684.8,317.64,28.71,503.78316828417985,1612.0687290792985,1879.7684456556292,206.92512061327355,933.1626941557101,274.0725966822179,31.439064147621014,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,158
2026-03-07 15:00:00+00:00,877.06,1620.54,2159.25,199.94,660.14,316.94,28.71,536.9395378924771,1835.3824937827724,1921.3307714620548,214.41220162704346,933.5165344915442,274.0725966822179,31.48325530437653,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,159
2026-03-07 16:00:00+00:00,941.12,2331.59,2288.09,659.91,625.09,356.29,28.71,569.3133430148686,2052.49627588759,1962.2566662276358,221.89928264081334,931.8841572943179,274.0725966822179,31.64169784977883,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-03-01 00:00:00+00:00,160
