number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
22,21.111738204956055,small,0.6203286908435427,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.014128280796353686,9,7,862,medium,0.011141541205150778,2.875165809784817e-06,short,mean,0.5653149090010677,medium,COMPLETE
23,20.289472579956055,small,0.8375550979089471,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.03122191834772747,10,9,617,medium,0.0003058271122678928,0.00014003302109039838,short,distance_energy,0.5877207464247811,medium,COMPLETE
24,22.719482421875,small,0.845458579350021,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.026298743303125573,8,9,590,medium,0.0005481074365629568,8.307325036493466e-08,short,mean,0.6762929654910685,medium,COMPLETE
25,22.42816162109375,small,0.9173575082909033,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.0168407932699862,9,3,706,medium,3.8071958057880054e-06,2.399382406764237e-06,short,mean,0.5816390577408198,medium,COMPLETE
26,22.117517471313477,small,0.8120414819897692,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,12.0,0.013302799567444736,10,5,572,medium,0.1769278534504534,7.71495823301127e-05,short,distance_energy,0.5082122037373891,medium,COMPLETE
27,26.556228637695312,small,0.7584411392133398,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,,0.08224476548206858,5,9,616,medium,0.005005442540102508,9.876819732958113e-08,short,mean,0.7305605823734138,medium,COMPLETE
28,25.948951721191406,medium,0.9071991328235783,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,1.0,0.04236891413174893,7,6,700,small,0.0003470500909873965,2.968066996233039e-06,none,idw,0.6403798988461527,none,COMPLETE
29,29.228004455566406,none,0.7014997399232857,True,True,False,True,False,True,False,False,True,True,False,True,True,True,True,False,False,6.0,0.25153232100528455,10,6,391,none,2.526172968382685e-06,0.0033886589369319727,short,distance_population,0.5399401302859627,small,COMPLETE
30,23.17784881591797,medium,0.850601059577954,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.028507746974394697,9,7,665,none,0.19040156981282905,0.14579123449176054,none,None,0.6617712522717016,none,COMPLETE
31,21.55843162536621,small,0.676268894184824,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.036944279527625225,10,8,807,medium,0.050215577477156825,0.00020624420780486206,short,distance_energy,0.5683859957616435,medium,COMPLETE
32,20.953691482543945,small,0.6133716622461876,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.17984690333804038,10,9,922,medium,0.005521775073824816,1.6581559621665183e-05,short,distance_energy,0.6069199930619664,medium,COMPLETE
33,23.61808204650879,small,0.582023847112987,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.1755398454492438,8,9,961,medium,5.6617733492185044e-05,2.1521298056197486e-05,short,distance_energy,0.6190595572670115,medium,COMPLETE
34,26.144926071166992,small,0.553178953331842,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,6.0,0.2967265905417982,10,10,911,medium,0.006597409203840302,8.691525831846083e-07,short,distance_population,0.7675667933412238,medium,COMPLETE
35,26.167367935180664,medium,0.6083658330378763,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,1.0,0.17918011913835138,9,9,558,small,0.0001759874839426169,3.9043507931576624e-06,short,idw,0.5365222843823478,medium,COMPLETE
36,30.485082626342773,small,0.7509959140756239,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,12.0,0.15641178415791449,10,10,919,none,0.001789110770060926,2.1398593503216777e-07,none,distance_energy,0.5004467531507457,medium,COMPLETE
37,22.94510841369629,none,0.5848944571114552,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,6.0,0.08858544864628386,8,5,692,medium,0.000684030723062708,1.3102085716065635e-06,long,energy,0.5967197227784695,small,COMPLETE
38,23.78712272644043,medium,0.5431192664258851,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,False,False,,0.025159762451440006,9,2,616,small,0.007057911578706034,0.0029325577756261416,short,max,0.9560041218134471,medium,COMPLETE
39,24.938644409179688,none,0.6896117952072045,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,12.0,0.049479951224273455,10,4,638,medium,0.05621462160744775,0.00011328821002490566,none,population,0.6437875784965583,medium,COMPLETE
40,24.584054946899414,small,0.7282088645490058,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,True,6.0,0.21933179959216306,4,9,812,medium,0.2268402518068035,8.05447609896881e-06,long,None,0.7013542010383171,none,COMPLETE
41,21.32289695739746,small,0.6401259016694586,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.06223278930023116,10,8,744,medium,0.02016237984649271,0.0010047894548211405,short,distance_energy,0.5633934144709154,medium,COMPLETE
42,20.835023880004883,small,0.5981598299560567,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.018131200249531843,9,8,667,medium,0.003330830930544098,0.0001517426562576491,short,distance_energy,0.5825595558777467,medium,COMPLETE
43,21.280059814453125,small,0.5987797947765068,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.016422602172849136,9,10,668,medium,0.0002380975028639164,0.0001458004844174671,short,distance_energy,0.663248006234898,medium,COMPLETE
44,21.034826278686523,small,0.5634163201579616,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,6.0,0.021271124896897777,9,9,536,medium,0.0013896267151893014,2.1208106201602025e-05,short,distance_energy,0.5513547581597988,medium,COMPLETE
45,24.32857322692871,small,0.671107943416404,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,,0.018437618103551125,8,8,466,none,0.003443711871960468,4.097527709165818e-05,short,mean,0.5916596381757321,medium,COMPLETE
46,23.013818740844727,small,0.9420488308373374,False,True,True,False,True,False,False,True,True,False,True,True,True,True,True,False,True,6.0,0.012989157817842207,10,7,602,medium,2.0511111866763642e-05,4.202903633600262e-07,long,max,0.9974528706671283,small,COMPLETE
47,25.039907455444336,none,0.8186808036339404,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,1.0,0.031220971051846052,9,9,655,medium,0.41719907090200636,0.0014424971897963911,long,distance_energy,0.7921741348160022,medium,COMPLETE
48,21.46063804626465,small,0.5355866440425318,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,6.0,0.015118776581322066,8,10,878,medium,9.092470781382642e-05,3.19594139770959e-08,short,mean,0.5229466562430053,medium,COMPLETE
49,21.401281356811523,small,0.7820071251092304,True,False,True,False,True,True,False,True,True,True,True,False,False,True,False,False,True,6.0,0.023678795611794628,7,8,806,medium,1.1496837554480725e-07,0.008066490563275967,short,distance_population,0.8639237755905587,medium,COMPLETE
