date,prognostizierte_erzeugung_onshore,prognostizierte_erzeugung_offshore,prognostizierte_erzeugung_photovoltaik,prognostizierter_verbrauch_gesamt,prognostizierte_erzeugung_gesamt,prognostizierte_erzeugung_wind_und_photovoltaik,prognostizierte_erzeugung_sonstige,prognostizierter_verbrauch_residuallast
2026-08-26 17:00:00+00:00,13129.8661534073,5354.365268313197,6708.488532296558,58097.41301758174,48846.037147784235,25192.719954017055,23653.31719376718,32904.693063564686
2026-08-26 18:00:00+00:00,11938.46620657604,5121.161186801189,-210.42550356875793,57504.973039022545,47586.129535402535,16849.20188980847,30736.927645594064,40655.77114921407
2026-08-26 19:00:00+00:00,13805.588508979708,4737.1739716553975,-3130.7442864825775,55760.30169539373,48102.737047736206,15412.018194152528,32690.718853583676,40348.2835012412
2026-08-26 20:00:00+00:00,17469.55018623165,4729.25518487995,-2008.427726403776,53484.07204544229,49363.85658127217,20190.377644707823,29173.47893656435,33293.69440073447
2026-08-26 21:00:00+00:00,18554.321750424522,5187.101655740086,-92.75675701352591,48229.91942685365,45634.43800688595,23648.666649151084,21985.771357734862,24581.252777702568
2026-08-26 22:00:00+00:00,18863.776744455463,4936.694285276148,256.16974195685725,45052.57848157069,43288.61458412298,24056.64077168847,19231.97381243451,20995.937709882215
2026-08-26 23:00:00+00:00,18431.42661403605,4713.20592666265,201.04200969534423,44672.37682495968,45475.806200430314,23345.674550394044,22130.13165003627,21326.70227456564
2026-08-27 00:00:00+00:00,18320.248714345817,5252.398097547296,-1813.8352222350861,43751.287882658035,46246.942564396246,21758.811589658024,24488.130974738222,21992.47629300001
2026-08-27 01:00:00+00:00,19083.597070274107,5223.743927830513,-953.6584514232615,44355.67677024033,47082.049354967014,23353.68254668136,23728.366808285653,21001.99422355897
2026-08-27 02:00:00+00:00,17322.38930407292,5419.369189806933,224.16294680261055,45889.63445471597,47065.57333094359,22965.921440682465,24099.651890261124,22923.713014033503
2026-08-27 03:00:00+00:00,17311.56455989187,5249.436007658838,1814.5856697315867,46607.651663665354,42617.28922511447,24375.586237282296,18241.702987832177,22232.06542638306
2026-08-27 04:00:00+00:00,17468.0571460206,5152.4490742007765,2525.447008299156,52746.364954931196,46718.574799456386,25145.953228520535,21572.62157093585,27600.41172641066
2026-08-27 05:00:00+00:00,18005.497827585394,5153.829799273762,3911.0473815075065,56759.102847294256,50646.16014495364,27070.37500836666,23575.78513658698,29688.727838927596
2026-08-27 06:00:00+00:00,17184.332873579075,5097.268385207735,8995.419498498783,59608.86721950125,54372.06279623598,31277.020757285594,23095.042038950385,28331.846462215653
2026-08-27 07:00:00+00:00,11468.754732849497,4933.150964413759,18012.387807849245,60574.49566516485,55889.24818045343,34414.293505112495,21474.954675340938,26160.20216005236
2026-08-27 08:00:00+00:00,11417.762753597506,4632.98241937871,25467.00574500286,61065.37896043971,59541.78776400754,41517.75091797908,18024.03684602846,19547.62804246063
2026-08-27 09:00:00+00:00,12481.235927169453,4025.8057855276584,31548.194099277433,61039.54888826305,65542.79695496117,48055.23581197455,17487.561142986626,12984.313076288505
2026-08-27 10:00:00+00:00,12959.492105919564,4390.654946600193,35061.787853401765,60151.03052020189,69061.60723018572,52411.934905921524,16649.672324264197,7739.09561428037
2026-08-27 11:00:00+00:00,13075.085803321785,4671.453744883917,36726.204519999344,59502.00711492631,72189.03432525905,54472.74406820505,17716.290257054003,5029.263046721258
2026-08-27 12:00:00+00:00,13539.601163862422,4764.613616264102,35096.909848328585,58070.422769727375,70799.25474247211,53401.12462845511,17398.130114017004,4669.298141272266
