number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
59,667.354014676669,small,0.550802731421606,False,True,True,True,False,False,False,False,True,False,False,,0.03086974850166577,3,65,0.08147163586297218,878,134,large,0.01925612131718203,8.923711955358197e-07,small,distance_n_panels,0.5172036415896044,True,True,COMPLETE
60,754.1739467142141,none,0.6624793215459951,False,True,True,True,False,False,False,False,True,False,False,6.0,0.048062828615008685,5,71,0.1066970194318117,916,129,small,0.00615296363830542,4.3046365467073075e-05,small,distance_n_panels,0.9682023212190481,True,False,COMPLETE
61,614.5740042890142,small,0.6934698601121745,False,True,True,True,False,False,False,False,True,False,False,,0.061036379965680496,6,62,0.04065395463154599,944,126,large,0.010588099169684532,0.0022332036902194437,small,distance_n_panels,0.5236206597029817,True,True,COMPLETE
62,619.6662112411891,small,0.6956404498314941,False,True,True,True,False,False,False,False,True,False,False,,0.07621761078737477,6,59,0.037517899362001915,960,125,large,0.0029267575886498627,0.004911740061327568,small,distance_n_panels,0.5422148977931613,True,True,COMPLETE
63,614.6280976275165,small,0.6906910154194867,False,True,True,True,False,False,False,False,True,False,False,,0.08064892020419316,6,59,0.04758447995145274,977,125,large,0.0026032420781262767,0.007469574358260174,small,distance_n_panels,0.547377301203077,True,True,COMPLETE
64,652.3824548552212,small,0.6947549711507258,False,True,True,True,False,False,False,False,True,False,False,,0.0395991496915888,7,58,0.03516221981277271,962,124,large,0.0029011762666636288,0.007781184215420435,small,mean,0.5486667742614041,True,True,COMPLETE
65,600.2312743791217,small,0.7481185653753805,False,True,True,True,False,False,False,False,True,False,True,,0.05493139759382142,6,63,0.0015326622556414565,907,112,large,0.0004920262264994321,0.022726209303271655,small,distance_n_panels,0.5759132127778925,True,True,COMPLETE
66,666.7988499082239,small,0.7529097151629772,False,True,False,True,False,False,False,False,True,False,True,,0.05461539991946478,8,63,0.0022869390452015873,313,111,none,0.00010600100901169916,0.03190761783571784,none,distance_capacity,0.5796728711510908,True,True,COMPLETE
67,695.0147720178774,large,0.720194837495357,False,False,True,True,False,False,False,False,True,False,True,1.0,0.034135861324102644,9,76,0.016810504067729867,889,52,large,0.00038253150080197435,0.011777783629259074,small,None,0.6038066385012063,True,True,COMPLETE
68,687.9969501490615,small,0.7702570653494659,False,True,True,True,True,False,False,False,True,False,True,,0.05003130222586257,4,70,0.055463342161255556,908,120,large,0.016121614483623495,0.0006390373075296295,small,capacity,0.563592608602136,True,True,COMPLETE
69,815.6911492895033,small,0.7412344154671691,False,True,True,True,False,False,False,False,True,False,True,12.0,0.05839160330672299,7,64,0.18726388891822446,844,141,large,0.0012462112802887173,0.08058538663318367,small,n_panels,0.5279173631865075,True,False,COMPLETE
