number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
17,508.8022969330512,none,0.6472480841029502,False,False,False,True,False,False,True,False,True,False,False,0.011324083448618627,15,23,0.2792591846363227,398,55,large,0.31539993856776977,0.007836071174789162,large,idw,0.7097586251892906,False,True,False,COMPLETE
18,528.9451579403213,large,0.54136135422678,True,True,True,True,False,False,True,True,False,True,False,0.017991878353378305,4,65,0.19615471002373652,544,55,small,0.03759124036993699,0.006218564655459577,large,n_panels,0.5726050305408172,True,True,False,COMPLETE
19,501.96557429296064,medium,0.6402860055055746,False,False,False,True,False,False,True,False,True,False,False,0.016862443504629888,16,42,0.3348184934284383,669,59,small,1.75642096022398e-08,0.00020116088351390592,large,None,0.5879650839610867,False,True,True,COMPLETE
20,537.2490956273806,medium,0.7477967848389787,False,False,False,True,False,False,True,True,True,False,False,0.01706547483958347,7,70,0.06863326722669776,399,144,large,0.05537626457644065,0.7421144042139435,large,mean,0.6265564667578951,False,True,False,COMPLETE
21,504.547245140435,medium,0.6488694271473483,False,False,False,True,False,False,True,False,True,False,False,0.01753746652868493,16,40,0.3453802936963705,682,58,small,1.1374747856384141e-08,0.0002300571012607243,large,None,0.5945162209092709,False,True,True,COMPLETE
22,514.3401274393804,medium,0.5620821488671145,False,False,False,True,False,False,True,False,True,False,False,0.024503090557843055,16,26,0.40121228756409244,822,63,small,6.80278756598464e-08,0.0025323432565914354,large,None,0.5487410989105894,False,True,True,COMPLETE
23,530.315319965095,medium,0.7291670503680875,False,False,False,True,False,False,True,False,True,False,False,0.01286364551169855,13,47,0.2538225084716398,668,44,small,1.1349080687755111e-06,0.036245405244165446,large,capacity,0.5507295371290999,False,True,True,COMPLETE
24,502.9722667046961,medium,0.6255755549957759,False,False,False,True,False,False,True,False,True,False,False,0.033610345936512416,15,59,0.3043654949953399,550,87,small,3.693424846669802e-08,6.953892533372986e-05,none,None,0.6957725449721235,False,True,True,COMPLETE
25,529.9939029204595,large,0.814823672019105,False,False,False,True,False,False,True,False,True,False,False,0.014784836516879684,13,27,0.1662953610258868,818,89,small,1.173080256502779e-06,0.001033285604366618,large,distance_n_panels,0.6167698091978072,False,True,True,COMPLETE
26,514.2315073819801,none,0.5508060946240562,True,True,True,True,False,True,False,False,False,True,False,0.020507345542141054,16,74,0.4144258844026586,401,47,small,0.00010297660962641171,8.45942739721366e-05,large,max,0.6608739432381242,True,True,True,COMPLETE
27,497.7586863491547,small,0.7145650531241464,False,False,False,True,False,False,True,False,True,False,False,0.010218905438707631,14,43,0.21682530064193406,640,68,small,5.038026523770017e-08,0.013550245186334912,large,max,0.5380874464539679,False,True,True,COMPLETE
28,488.18130279096835,small,0.7154600177216587,True,True,False,True,False,False,True,True,False,False,False,0.010688150790886471,14,85,0.2332699146464965,539,116,large,8.902469588035767e-08,0.04079247079360044,large,max,0.5375821639851102,False,True,False,COMPLETE
29,514.4696917798344,small,0.7282127321818963,True,True,False,False,False,False,True,True,False,True,False,0.010099150454492235,14,85,0.22624253785935133,521,127,large,1.665867121475877e-05,0.03778219435978208,medium,max,0.5284997427719716,True,True,False,COMPLETE
30,505.0944526474471,small,0.8156165279914207,True,True,False,True,False,False,True,True,False,False,False,0.014627069598424443,14,99,0.07776396437041444,621,67,large,0.9579154113266343,0.1588910888452358,none,max,0.5393172820467143,False,True,True,COMPLETE
31,493.9225508035115,small,0.6771446692505941,True,True,False,True,False,False,True,True,False,False,False,0.010088725003060931,12,61,0.16924104585444477,736,87,large,7.346871433592148e-08,0.007996269249141565,large,max,0.5562379073556767,False,True,False,COMPLETE
32,485.2331576767386,small,0.7047272380273227,True,True,False,True,False,False,True,True,False,False,False,0.010120776327733477,12,86,0.23514886571775181,747,115,large,8.134757773913443e-08,0.006701646709981883,large,max,0.6058888152252039,False,True,False,COMPLETE
33,497.88486768978555,small,0.6815523232596611,True,True,False,True,False,False,True,True,False,False,False,0.013019334375616878,12,90,0.17369604840040515,795,132,large,1.0986884838107187e-07,0.00224185104705718,medium,max,0.602677657999898,False,True,False,COMPLETE
34,497.94661362915895,small,0.7695138820475328,True,True,False,False,True,False,True,True,False,False,False,0.010026948797771341,12,73,0.2518238600380973,867,112,large,2.7822789848641087e-06,0.15343630940916075,large,max,0.6181046627163602,False,True,False,COMPLETE
35,503.1082460009298,small,0.6647007715397135,True,True,False,False,False,True,False,True,False,False,False,0.012969348416325622,11,84,0.09660249652430629,736,114,large,2.376057282486711e-05,0.9253812585805083,large,max,0.7171621327919709,False,True,False,COMPLETE
36,540.8538460271853,small,0.7044142933286242,True,True,False,True,True,False,True,True,False,False,False,0.014148186828093427,10,79,0.18404866332576536,768,134,large,4.4990472586088174e-07,0.016955130386257018,large,n_panels,0.6653523577062259,False,True,False,COMPLETE
37,495.275564319973,small,0.6209363712022815,True,True,False,False,False,False,False,True,False,False,True,0.021606268284114962,13,90,0.23533618549387741,715,89,none,8.604969727054584e-05,0.0029320324895597814,large,max,0.8613302666170939,False,True,False,COMPLETE
38,521.856876253628,small,0.7458255307346874,True,True,False,True,False,True,True,True,False,False,False,0.02903554029185777,15,64,0.04144400587608113,884,123,large,2.1749670507881937e-07,0.07831301797767491,medium,max,0.5243631603378879,True,False,False,COMPLETE
39,525.4809779093429,small,0.8232374851131143,True,True,True,True,True,False,False,True,False,False,False,0.011834192373613621,13,8,0.28721447559196367,970,114,large,9.101450924755609e-06,0.3096219913736078,none,mean,0.7826457501692257,False,True,False,COMPLETE
40,525.4183900846059,small,0.8533381405475877,True,True,False,False,False,True,True,True,False,True,False,0.020624834072760393,9,54,0.24466848165975125,702,106,none,3.781530793543705e-08,0.021797937592532412,large,idw,0.5733339912486338,False,True,False,COMPLETE
41,495.6600308165262,small,0.6285040885809808,True,True,False,False,False,False,False,True,False,False,True,0.020628666097563222,12,90,0.22787163710268593,715,86,none,7.279479044290671e-05,0.0034062571139899848,large,max,0.851479548650269,False,True,False,COMPLETE
42,500.08435129305286,small,0.61300013037902,True,True,False,False,False,False,False,True,False,False,True,0.015382860788599009,15,94,0.1504171829638205,844,93,none,2.20498351079948e-06,0.006360654836632408,large,max,0.9362955093134223,False,True,False,COMPLETE
43,534.6962624036408,small,0.661083323353448,True,True,False,False,False,False,False,True,False,False,True,0.011689890991471677,14,70,0.19092007882217785,780,82,none,0.00015396019624353078,0.0009661412925422267,large,distance_capacity,0.8955851028588374,False,True,False,COMPLETE
44,492.46130622082865,small,0.5910130547177197,True,True,False,False,False,False,False,True,False,False,True,0.02248918968418036,12,87,0.3107998681096643,760,93,none,3.7048958317304343e-07,0.05676986145290242,large,max,0.8388871794537149,False,True,False,COMPLETE
45,491.03734445684205,none,0.5800936176856352,True,True,False,False,False,False,False,True,False,False,True,0.036193870848838676,11,79,0.30166474934500465,937,108,large,4.5151433502365133e-07,0.07010286867100844,large,max,0.8217460010097832,False,True,False,COMPLETE
46,496.35760057327997,none,0.5870791171179338,True,True,False,False,False,False,False,True,False,False,True,0.04163828282523495,10,81,0.3036940069076131,913,107,large,4.5353560826937355e-07,0.07226094639490474,large,max,0.8115845689804847,True,False,False,COMPLETE
47,513.3497885805627,none,0.9873893368248355,True,True,True,False,True,False,False,True,False,False,True,0.03360283660253106,11,85,0.3686412245204006,1000,120,none,1.545609263334863e-07,0.30700729555029316,medium,max,0.739047097317434,False,True,False,COMPLETE
48,496.0760028745802,none,0.5711958820545117,True,True,False,False,False,False,False,True,False,True,True,0.028684588250766304,11,96,0.3221205778305912,598,97,large,6.566735069171554e-07,0.06529711694663065,large,capacity,0.9884046238674113,False,True,False,COMPLETE
49,525.239687420289,none,0.5837481063394232,True,True,False,False,False,True,False,True,False,False,True,0.03996144341423695,12,76,0.26470375351812125,924,138,none,0.0038950918993638883,0.025828508750353366,small,distance_capacity,0.8191852014144243,False,False,False,COMPLETE
50,515.9445906919724,none,0.5303722347577038,True,True,False,False,False,False,False,True,False,False,True,0.06421240885190639,9,88,0.3050982521029321,432,15,large,2.3082230433700154e-08,3.0728001794877927e-06,none,n_panels,0.789797152010585,False,True,False,COMPLETE
51,501.5317634138358,small,0.67880147954666,True,True,False,True,False,False,False,True,False,False,True,0.024264951585481025,12,80,0.20799696355506025,519,107,large,1.0556277920740908e-07,0.011103820517978301,large,max,0.7556435049534059,False,True,False,COMPLETE
52,516.3251753699972,small,0.7040849297970151,True,True,False,True,False,False,True,True,False,False,True,0.01139831393203951,10,68,0.14959120921618826,754,149,large,2.4748763118041276e-07,0.07826275884626745,large,max,0.8398174316254765,False,True,False,COMPLETE
53,493.8313358798396,small,0.6012685851930641,True,True,False,True,False,False,True,True,False,False,False,0.01773345761006718,13,78,0.10475063373047973,818,95,large,1.2407540513756283e-07,0.42677649513929267,large,max,0.8742563038486608,False,True,False,COMPLETE
54,499.65759522914755,small,0.5023309517448464,True,True,False,False,False,False,True,True,False,False,True,0.01796025322341072,13,87,0.10444612775115893,362,95,large,9.047500468741205e-06,0.5371808090467021,large,max,0.878593335841001,False,True,False,COMPLETE
55,506.9872145401341,medium,0.6017068833143887,True,True,False,True,False,False,False,True,False,False,False,0.02685342046285985,14,76,0.284731796563947,802,126,large,1.4386928155984997e-06,0.18306358309761558,large,idw,0.8713911950876652,False,True,False,COMPLETE
56,509.4877251362797,none,0.5507215164451338,True,True,True,True,False,False,True,True,False,False,False,0.016005280769070245,11,94,0.26346487561736376,836,111,large,2.4451806072092067e-08,0.45352834511635515,large,mean,0.9116054110815585,False,True,False,COMPLETE
57,502.91974171000055,medium,0.6011712898703898,True,True,False,True,False,False,True,True,False,False,True,0.05012135455362488,15,83,0.37319443138347197,861,80,none,3.3315498607565446e-07,0.1182671634549459,small,max,0.8285761319412294,True,True,False,COMPLETE
58,503.9677996650325,small,0.6352497658567184,True,True,False,False,True,False,True,True,False,False,False,0.018894818005017897,13,71,0.031746029125042596,939,101,large,1.015644503657605e-08,0.03602262410814171,large,max,0.8975981104625453,False,False,False,COMPLETE
59,525.7990866573218,small,0.5284892324975395,True,True,False,True,False,False,False,True,False,True,False,0.022617357279580974,14,79,0.35392582166655173,345,117,large,0.07777327085548716,0.30432374265802636,large,capacity,0.7673086104385041,False,True,False,COMPLETE
60,485.76854674285687,medium,0.568607031709349,True,True,False,True,False,False,True,True,False,False,False,0.036891405242305275,11,93,0.40643539331655054,631,74,large,5.3606717882202946e-06,0.004067418268034909,large,max,0.9248489577500887,False,True,True,COMPLETE
61,480.985064527721,medium,0.5714587816035392,True,True,False,True,False,False,True,True,False,False,False,0.037350822780539965,11,93,0.48075615169839037,586,71,large,1.2892361484770713e-07,0.003995030789979849,large,max,0.9142335098078456,False,True,True,COMPLETE
62,484.43006434717245,medium,0.5695600341531916,True,True,False,True,False,False,True,True,False,False,False,0.038310135318471834,10,99,0.481022945761326,574,73,large,6.783588344614266e-07,0.0012666568055064854,large,max,0.935632754232249,False,True,True,COMPLETE
63,489.16374651748055,medium,0.5713672425882349,True,True,False,True,False,False,True,True,False,False,False,0.07943730610116717,8,97,0.4763060077547189,580,74,large,5.702036877180804e-06,0.0015719911600408942,large,max,0.960622703653969,False,True,True,COMPLETE
64,498.4835710303358,medium,0.5599774357362585,True,True,False,True,False,False,True,True,False,False,False,0.09262750729579271,8,98,0.4933932463992615,576,50,large,4.093611278614776e-06,0.00040866896799623357,large,distance_n_panels,0.9746488433350073,False,True,True,COMPLETE
65,490.705009990545,medium,0.5685035083030962,True,True,False,True,False,False,True,True,False,False,False,0.0773801538271578,7,92,0.45071285953632145,631,71,large,4.333262399396458e-05,0.0013249362376827926,large,max,0.9540200363342909,False,True,True,COMPLETE
66,482.3616864829493,medium,0.5189950895573897,True,True,True,True,False,False,True,True,False,False,False,0.04457811969824371,9,100,0.4685810745117338,597,72,large,0.00026605508936285404,0.004397768060951536,large,max,0.9266379934661935,False,True,True,COMPLETE
67,509.8915130535929,medium,0.516042724047387,True,True,True,True,False,True,True,True,False,False,False,0.045856998798083554,9,95,0.45060117308626013,517,38,large,0.004827533347521159,0.0051198708200478,small,n_panels,0.9203134770409666,False,True,True,COMPLETE
68,483.34561912852314,medium,0.5355276788913333,True,True,True,True,False,False,True,True,False,False,False,0.055200061285005535,10,100,0.46654861916149976,654,63,large,0.000737006131234671,0.0004901485543007289,none,max,0.9428074193125882,True,True,True,COMPLETE
69,511.30735028453154,medium,0.537134805693768,True,True,True,True,False,False,True,True,False,False,False,0.05634935388958392,10,100,0.4680778632953127,664,64,large,0.0003891814046995624,0.00015941597689156665,none,distance_capacity,0.9303864592844933,True,True,True,COMPLETE
