number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
12,3884.698486328125,none,0.5014648612688708,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,6.0,0.0870350418289647,7,9,756,none,0.0031113826941207958,0.003263923590566278,short,mean,0.8301679677732301,medium,COMPLETE
13,5356.16455078125,none,0.8618323665467394,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,6.0,0.10666297113166087,6,9,470,none,0.0029025909054662554,0.0018657664377245565,short,energy,0.8795941470784536,small,COMPLETE
14,3078.918212890625,none,0.5256793126078433,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.031850655256358086,8,5,761,none,0.8446059410533694,0.0007080417909583856,short,mean,0.9985092283526038,medium,COMPLETE
15,3150.358154296875,none,0.5054959051052059,True,False,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,,0.03755096901891938,8,10,784,none,0.002290623947786431,0.0003569199935972848,short,mean,0.9975117209148481,medium,COMPLETE
16,3149.887451171875,none,0.5638009816718865,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.031124081963869767,8,1,749,medium,0.9386651010958076,1.2780401885493788e-05,short,mean,0.9864151004981411,medium,COMPLETE
17,3214.327392578125,small,0.5818112328942666,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.029315495016774332,9,1,699,medium,0.5337945903598368,5.7578003516253325e-06,short,mean,0.934874062858259,medium,COMPLETE
18,3500.96875,none,0.5667934664261014,False,False,False,True,False,True,True,True,True,False,True,False,True,True,False,True,False,,0.01014540230444586,8,1,852,medium,1.5591810236882155e-06,2.62718632032348e-07,short,mean,0.9283195960118091,medium,COMPLETE
19,3111.0185546875,none,0.7101288477129012,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.02341072784595195,9,4,531,medium,0.7188486965368409,1.8579780835308083e-05,none,distance_population,0.9661929376575698,medium,COMPLETE
20,3131.102294921875,small,0.7429654576170672,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.020857994578186413,9,4,543,medium,0.01315908348852757,0.0003490080442130839,none,distance_population,0.8102664325693393,medium,COMPLETE
21,3170.768310546875,small,0.7347345084338133,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.021371760919766294,9,4,545,medium,0.02982062481139324,0.0004064233101660682,none,distance_population,0.7900938080599098,medium,COMPLETE
22,3181.965087890625,small,0.702497603949927,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.041204089726823,10,5,534,medium,0.23062161638169437,0.0003698616641270874,none,distance_population,0.9403950718240738,medium,COMPLETE
23,3154.09765625,small,0.7883647297659878,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.02133257635977381,9,3,671,medium,0.020078997732375904,2.7654920541699027e-05,none,distance_population,0.8976286282831245,medium,COMPLETE
24,3149.044677734375,small,0.6350684800239172,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.05369150250065137,9,5,390,medium,0.0005390812757650014,9.122388766340214e-07,none,distance_population,0.9639656989326203,medium,COMPLETE
25,3530.466064453125,none,0.7757458733932421,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.0312731640369168,8,3,539,medium,0.8779614342594811,0.1002249007506513,none,population,0.8138255332647619,none,COMPLETE
26,3802.896240234375,small,0.8722396797221528,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,True,False,,0.017493503136700363,10,4,695,medium,0.013908384091415565,0.0006035404106776419,none,idw,0.6474872338380279,medium,COMPLETE
27,4029.463134765625,none,0.7043466382351714,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.025072877747022757,9,6,571,medium,0.14160203769824503,0.00011917592582754672,none,energy,0.8925776097580477,medium,COMPLETE
28,3177.906005859375,small,0.6774263306175974,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.06899095385383512,7,7,499,small,0.009410425496226194,3.2909074828752836e-07,none,distance_population,0.9995047379989113,medium,COMPLETE
29,3322.76171875,none,0.6257733875141342,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,,0.012236642034443763,10,5,636,medium,0.000365727785316591,0.00010629531749075963,none,distance_population,0.6843638689453845,none,COMPLETE
30,3157.137939453125,medium,0.8831884401713648,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.03745457106812931,8,6,386,small,0.25329802720305855,1.8864328290722465e-05,long,distance_population,0.6199606409387488,medium,COMPLETE
31,3133.857421875,small,0.6440353641249553,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.05055305351092924,9,5,389,medium,0.0009125917850928603,7.512728236587609e-07,none,distance_population,0.9595526746211194,medium,COMPLETE
32,3131.155517578125,small,0.7268969782562275,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.058219505698385,9,3,374,medium,0.0007298220312678222,1.5258260570931084e-08,none,distance_population,0.9643058098882109,medium,COMPLETE
33,4217.34228515625,small,0.729165963393928,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.06535014499841384,10,2,343,medium,9.10438654303038e-06,1.6131748240092092e-08,none,max,0.9048987718946729,medium,COMPLETE
34,3782.3779296875,small,0.7764856359027663,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,,0.1270091960412277,8,3,830,medium,7.902294511883931e-05,6.983357065876111e-05,none,distance_population,0.9646146221258114,medium,COMPLETE
35,4208.52001953125,medium,0.6705392850083454,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,True,True,1.0,0.025399578020460722,9,3,914,medium,0.04656440790060048,6.735925869642773e-08,none,distance_energy,0.7447646500506259,none,COMPLETE
36,3270.980224609375,small,0.5427716101869234,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,,0.016329902119043265,9,2,498,none,0.005304710247086511,0.019374379258285,none,None,0.945999646872458,medium,COMPLETE
37,5159.8212890625,medium,0.6051175549635173,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,False,False,12.0,0.06130667895527132,10,4,425,medium,1.1981063272802722e-05,0.0010917268549788138,none,max,0.9152355430247848,medium,COMPLETE
38,3922.80078125,small,0.7220346702945174,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,1.0,0.013537340469317373,3,4,592,small,0.24472575611021055,0.06472738137923542,long,distance_population,0.5053165941589425,medium,COMPLETE
39,3638.210205078125,none,0.8118495918927199,True,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,,0.04202579317152494,7,2,914,none,0.0009183163002833188,0.007979404273690312,none,population,0.5484528672994494,none,COMPLETE
40,4887.95703125,none,0.7668767176631591,False,False,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,12.0,0.020474128226208744,9,3,659,medium,0.04358048996275461,6.310315850437883e-06,none,energy,0.721999321514691,small,COMPLETE
41,3139.421630859375,small,0.6434146056399177,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.03290482147462722,9,5,348,medium,0.0010480119864971352,1.619120583625183e-07,none,distance_population,0.9618302446165621,medium,COMPLETE
42,3145.080078125,small,0.6576286243364027,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.05050573320586348,8,5,412,medium,0.00015608189426207747,8.438030942563808e-07,none,distance_population,0.9563524736810383,medium,COMPLETE
43,3141.0,small,0.6953260006326218,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.02705592055215,10,4,365,medium,0.0003224031954725104,1.011019695454694e-08,none,distance_population,0.8619024755635456,medium,COMPLETE
44,5206.28857421875,small,0.7452682344598296,True,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True,6.0,0.08187809896020284,10,6,459,medium,1.9145970156383443e-08,1.8288026711216587e-06,long,idw,0.9736114198606791,medium,COMPLETE
45,3991.115966796875,small,0.7098462175007594,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,,0.03618117230293811,8,4,322,none,0.006526863158065203,3.771416374136284e-08,short,distance_energy,0.9218171168924343,medium,COMPLETE
46,3623.1728515625,none,0.6116704736452461,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,1.0,0.04437031252626078,9,7,509,none,2.9573428204628554e-05,4.688044744870368e-05,none,distance_population,0.8456395697826397,small,COMPLETE
47,3365.5107421875,medium,0.5291973751081824,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,,0.29933662587569837,7,5,456,small,0.09576167573513218,4.159860357524618e-06,short,None,0.775995903403648,medium,COMPLETE
48,4891.29638671875,small,0.7615008237543398,False,False,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,6.0,0.05831800017175428,9,6,591,medium,0.0014489716286554407,0.00018932294534557178,none,distance_population,0.9799055279534384,medium,COMPLETE
49,3488.430908203125,none,0.654845206671836,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,True,False,12.0,0.10063472654362499,5,3,403,none,0.4494573062965926,1.214677890819385e-05,short,mean,0.8821309769759301,medium,COMPLETE
50,4221.54345703125,none,0.8004234661295635,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,,0.023862299670867105,8,4,799,medium,6.680308027272742e-05,0.0013190728541501197,long,max,0.9954456596981969,small,COMPLETE
51,3125.493896484375,small,0.6500365995801631,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.03324146575544855,9,5,352,medium,0.0008960182140124243,1.7295208526908767e-07,none,distance_population,0.9475731296638188,medium,COMPLETE
52,3184.532958984375,small,0.8370706768957692,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.04857169053383156,9,5,307,medium,0.00048794396896858995,1.5674660111012318e-07,none,distance_population,0.9436568077705815,medium,COMPLETE
53,3158.6416015625,small,0.6765428648195964,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.03433545407335002,8,5,364,medium,0.004115654229956803,6.298034001955646e-08,none,distance_population,0.9165977649708894,medium,COMPLETE
54,3220.531005859375,small,0.5986034496809189,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.01885627689121017,10,6,439,medium,0.0017085952775066197,4.3639286226494837e-07,none,mean,0.9762947925294351,medium,COMPLETE
55,3172.453857421875,small,0.7193372275599784,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,,0.02780338616745309,9,4,478,medium,0.00020525824195579082,3.050462587872582e-08,none,distance_population,0.9409725440573289,medium,COMPLETE
56,3543.033447265625,small,0.7518364665674969,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,False,False,,0.0734615363700811,6,7,351,medium,0.011925132813883273,1.066460601882113e-07,short,population,0.951306949423201,medium,COMPLETE
57,2974.736572265625,none,0.6812140699715206,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,,0.02348482301026196,9,5,378,none,0.47390892063842877,0.00020543213039891405,none,distance_population,0.8086407328563231,none,COMPLETE
58,5046.77734375,none,0.6931440673949817,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,6.0,0.015044972221286857,9,3,722,none,0.5555729813565564,0.00020630250682447614,none,idw,0.8351546154926267,none,COMPLETE
59,3052.162841796875,none,0.5694808608710106,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.021908374396440486,8,4,618,none,0.1700309145925389,0.0007069802762648503,short,mean,0.8034284385613752,none,COMPLETE
60,3598.872802734375,none,0.5836059629861162,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,1.0,0.02228746672043923,7,4,616,none,0.3184033699439396,0.008226757614267567,short,mean,0.8042479928303368,none,COMPLETE
61,3036.025146484375,none,0.5449935235202491,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.01896459320325004,8,4,566,none,0.9972562737040472,0.0006825111327262162,short,mean,0.8121269905758307,none,COMPLETE
62,3019.262939453125,none,0.5532613684536369,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.018250102514291405,8,4,614,none,0.9894957242484782,0.0007297080940511302,short,mean,0.7545547358423088,none,COMPLETE
63,3018.599365234375,none,0.5459599096588856,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.018157395619759337,8,5,572,none,0.8953991877134451,0.0027983336529886775,short,mean,0.7636972522651685,none,COMPLETE
64,3077.559814453125,none,0.5459192834678407,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.01753411075223809,7,4,563,none,0.9997809362525576,0.003150720165444354,short,mean,0.7619468323740601,none,COMPLETE
65,3102.013671875,none,0.5610601698066022,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.012088028638613963,7,6,629,none,0.16424608319164913,0.0023040233345981184,short,mean,0.7615193014779513,none,COMPLETE
66,3062.345947265625,none,0.5248788245086279,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.017030652967489672,7,5,574,none,0.9785639343616759,0.0009238463934233017,short,mean,0.7836511902668324,none,COMPLETE
67,3175.587158203125,none,0.5397949977636385,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,,0.010807466218556067,6,4,560,none,0.9675806804728527,0.0045392546403493685,short,mean,0.7071243705087011,none,COMPLETE
68,4084.48046875,none,0.5192492360355834,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,12.0,0.016102948013506743,7,4,601,none,0.410010508828418,0.0010360002876862212,short,mean,0.7846123968186492,none,COMPLETE
69,3078.771240234375,none,0.5548114806300184,True,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,,0.013622141708821596,8,5,694,none,0.17713763014861594,0.003884279540202076,short,mean,0.7544978898307816,none,COMPLETE
