number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
22,16.21110962350352,large,0.7333539986009922,False,True,True,False,False,True,False,False,True,True,False,0.041537317066808625,6,100,0.3966344029604362,680,49,small,0.0008162264741261941,2.9634050227487937e-06,large,capacity,0.5666105402422535,False,False,True,COMPLETE
23,16.439978411585695,large,0.7079569262694583,False,True,True,False,False,True,False,False,True,True,False,0.022227646485836982,5,94,0.41041762024419326,936,54,small,0.0005927567967504721,1.4098290957994932e-06,large,capacity,0.5562887457572131,False,False,True,COMPLETE
24,16.60662716605228,large,0.7292142831185785,False,True,True,False,False,True,False,False,True,True,False,0.041235368480732434,7,82,0.49367421077466284,770,66,small,0.0017710900479654252,0.0004771375980021487,large,capacity,0.674070530352274,False,False,True,COMPLETE
25,16.29935918242335,large,0.882629989858172,False,True,True,False,False,True,False,False,True,True,False,0.039999865489244266,4,100,0.404594146596563,649,42,small,0.7143202946056896,5.640748258853808e-08,large,capacity,0.5642164348675445,False,False,True,COMPLETE
26,17.446477114057263,large,0.9064620989707411,False,True,False,False,False,True,False,False,True,False,True,0.03849018012555813,4,91,0.3843594989611345,652,40,small,0.09101087269408763,1.0709997521354068e-08,medium,distance_n_panels,0.5608910814217545,True,False,True,COMPLETE
27,16.548240469878817,medium,0.874355939192203,False,True,True,False,False,True,False,False,True,True,False,0.07944370012812246,3,80,0.43476373429743254,662,26,small,0.010704607770193941,4.514836151295938e-08,large,max,0.5101020275055935,False,False,True,COMPLETE
28,16.81060143590432,none,0.9275367912481715,False,True,True,False,False,True,False,False,True,True,False,0.04491383636154714,6,100,0.39553493040922505,519,46,small,1.3747075270103288e-05,1.4072466563984346e-07,large,n_panels,0.5659727667813832,False,False,True,COMPLETE
29,16.879199571173157,large,0.8509946402856494,True,True,True,False,False,False,False,False,True,True,False,0.10757614297482715,8,63,0.3018016756440302,615,24,large,0.0005933485630321175,3.0926144657826734e-06,large,capacity,0.5053903765047121,False,False,True,COMPLETE
30,16.12472473432526,large,0.9602994022636275,False,True,True,False,False,True,False,False,True,True,False,0.031049972774127212,4,31,0.4837601474621287,748,70,small,0.32971294866669393,5.352313842265725e-08,large,capacity,0.7729465861320686,False,False,True,COMPLETE
31,16.162880641730368,large,0.9641393815008248,False,True,True,False,False,True,False,False,True,True,False,0.033402366032128365,4,40,0.49273084419332,768,72,small,0.33615635565813134,5.880342659493969e-08,large,capacity,0.801594593043438,False,False,True,COMPLETE
32,16.338697448785528,large,0.9586820368532867,False,True,True,False,False,True,False,False,True,True,False,0.0315266524054721,4,42,0.49557931017827583,742,96,small,0.2752058300079262,3.7040749709454676e-08,large,capacity,0.7690286719153618,False,False,True,COMPLETE
33,16.0711262454285,large,0.9755969400855454,False,True,True,False,False,True,False,False,True,True,False,0.024791374553498464,4,33,0.46241375132964524,676,74,small,0.026059395881956195,5.38176749035451e-07,large,capacity,0.80824718746756,False,False,True,COMPLETE
34,17.562171717183176,none,0.9659547773632818,True,True,True,False,False,True,False,False,False,False,False,0.02489255684728616,3,34,0.4620949280912857,677,74,none,0.022241618680376385,5.190224724264878e-07,medium,distance_n_panels,0.8123170414490816,True,False,True,COMPLETE
35,16.098422602282827,large,0.9650897965183106,False,True,True,False,False,True,False,False,True,True,False,0.014987463426697743,4,33,0.4315625048531993,614,94,small,0.16649708499051344,1.807753301037122e-06,large,capacity,0.806771696560079,False,False,True,COMPLETE
36,16.705318592061648,large,0.9576657014278659,False,True,False,False,False,False,True,True,False,True,True,0.013290801608256131,4,32,0.435309563123408,615,85,none,0.09341156412662387,3.624546800671909e-07,large,idw,0.8286520283081964,False,True,True,COMPLETE
37,17.52175897448262,none,0.9933071127169404,False,True,True,False,True,True,False,False,True,False,False,0.010883439460970788,3,33,0.4734059231844898,549,87,small,0.2190317922314191,6.289948256699949e-08,medium,capacity,0.8515060071296247,True,False,False,COMPLETE
38,17.218680789566935,small,0.9172747417192273,True,False,False,False,False,True,True,True,True,True,False,0.01600156315681968,5,25,0.4291848425608244,777,109,large,0.025954319357323213,2.39383110441205e-08,large,distance_capacity,0.7422116010473938,False,True,True,COMPLETE
39,16.751671516555735,large,0.942956313018272,False,True,True,False,True,False,False,False,False,True,True,0.017721183552919757,12,45,0.4986005730178726,420,69,small,0.2217209701623751,1.7347401372178356e-06,none,mean,0.7896161829419142,True,False,True,COMPLETE
40,17.491917142974913,medium,0.9707973384032332,True,False,True,False,False,True,True,True,True,False,False,0.013009830533435452,10,38,0.4708632102384852,305,133,large,0.007589544954294949,8.225049877230126e-08,large,n_panels,0.8858690767205084,False,True,False,COMPLETE
41,16.343198412319126,large,0.9346392718087732,False,True,True,False,False,True,False,False,True,True,False,0.027824792199868033,4,23,0.3689029882245875,694,79,small,0.04871627785301316,3.137839089803082e-07,large,capacity,0.7892117066487081,False,False,True,COMPLETE
42,16.541676384325473,large,0.987702878944194,False,True,True,False,False,True,False,False,True,True,False,0.033004232012903006,3,29,0.4517421501120543,622,94,small,0.25007406512749736,2.7869613627864146e-06,large,capacity,0.7630340984215859,False,False,True,COMPLETE
43,16.619981673020543,large,0.6635201428971995,False,True,True,False,False,True,False,False,True,True,False,0.023975563014945002,5,38,0.42002845987211823,741,69,small,0.0031839806279431405,7.558853058302992e-07,large,max,0.7253103941558273,False,False,True,COMPLETE
44,16.589456021937306,small,0.9781576576662054,False,True,True,False,True,True,False,False,True,True,False,0.026208467700044667,4,16,0.4785805140349876,572,88,small,0.018327411474177147,1.4128784111723798e-07,none,capacity,0.8615275615516156,False,False,True,COMPLETE
45,16.53085177901218,large,0.7653431090423772,False,True,False,False,False,True,False,False,True,True,True,0.03452623849657043,6,56,0.44950869951537603,709,63,none,0.10901996689203097,1.6789390904777176e-08,large,distance_capacity,0.9263524050610142,False,False,True,COMPLETE
46,16.613461006204147,large,0.5770879218079259,False,False,True,False,False,False,False,False,False,True,False,0.06437266746966969,8,48,0.36084167984634513,765,103,small,0.043035168472701474,5.20662322627778e-06,medium,idw,0.8421651056359999,False,True,False,COMPLETE
47,17.254224485033717,large,0.5001215127758218,False,True,True,False,True,True,True,True,True,True,False,0.05146848465909095,7,27,0.44148785305915156,630,117,small,0.0068744260655587645,3.19882080556762e-05,small,mean,0.8799797038177636,True,False,True,COMPLETE
48,17.49730310358243,none,0.7973084647919382,False,True,True,False,False,True,False,False,True,False,False,0.015766590118653532,5,13,0.3889909219727057,684,75,large,0.3398640966489292,1.0446521901458791e-06,large,capacity,0.7996951577796119,False,False,True,COMPLETE
49,16.539163026239425,small,0.9484563157412024,True,True,False,False,False,True,False,False,True,True,False,0.034847351540659384,3,38,0.48114343244963503,585,81,small,0.00039615259110070873,0.06332845988455478,none,distance_n_panels,0.7541932499778358,False,False,False,COMPLETE
50,16.67456269428909,large,0.7467101281851523,False,False,True,False,False,False,False,False,False,True,True,0.010580958514257882,6,41,0.34628459590958255,815,149,small,5.99921757914616e-05,2.9687460205219745e-07,large,capacity,0.7177682880268725,False,False,True,COMPLETE
51,16.404866280506294,large,0.9992833113264614,False,True,True,False,False,True,False,False,True,True,False,0.0461476736857016,4,31,0.4043831789046333,649,40,small,0.9246199851940357,8.822359675540921e-08,large,capacity,0.779861826023214,False,False,True,COMPLETE
52,16.21657656205937,large,0.9060436885238972,False,True,True,False,False,True,False,False,True,True,False,0.02091873576889915,4,19,0.41809586856334646,546,57,small,0.14107145558656464,2.6544563824038425e-08,large,capacity,0.8306684948319556,False,False,True,COMPLETE
53,16.577546233068784,large,0.9297416037958326,False,True,True,False,False,True,False,False,True,True,False,0.022176203859700646,5,20,0.46210979839731764,480,64,small,0.1394551587193079,2.3699658358075953e-08,large,capacity,0.8349629264396304,False,False,True,COMPLETE
54,16.809683606283738,large,0.907087312717299,False,True,True,False,False,True,False,False,True,True,False,0.01745096519682196,3,11,0.004663140529413301,545,57,small,0.47831863511053324,2.116392690747174e-07,large,capacity,0.811519401070457,False,False,True,COMPLETE
55,16.570293308054087,large,0.9758685809328705,False,True,True,False,False,True,False,False,True,True,False,0.019463126680727416,5,49,0.4252896407311388,712,48,none,0.05458073191671349,2.1384287239077104e-06,small,capacity,0.7421638803098811,False,False,True,COMPLETE
56,17.124086799550845,large,0.9521817208449549,False,True,True,False,False,True,False,False,True,True,False,0.2781453920361473,4,25,0.45251465311119754,594,74,small,0.16978526000525707,5.143946526458366e-07,large,n_panels,0.9098178699705873,False,False,True,COMPLETE
57,16.831666288199504,large,0.9105614059477797,False,True,True,True,False,True,False,False,True,True,False,0.027462538430887397,14,36,0.4806440929178183,475,91,small,0.43906958106762733,1.2065232850504964e-08,large,capacity,0.87406095785806,False,True,True,COMPLETE
58,16.744585144349525,medium,0.9809686712979073,False,True,True,False,True,True,True,True,True,True,False,0.014522041048322443,6,63,0.4219695428966011,547,58,small,0.0012911639183519207,3.007553972244729e-08,large,max,0.9704561727663674,False,False,True,COMPLETE
59,16.194565174752082,large,0.8544599965813142,False,True,True,False,False,True,False,False,True,True,False,0.023198342164996662,4,45,0.3823878587246551,755,52,small,0.013211806210789278,1.0664633105631498e-07,large,capacity,0.779499500560751,False,False,True,COMPLETE
