number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
57,756.8187645681097,0.8375569699957377,True,False,False,False,False,True,True,True,False,True,large,0.0383522379533671,16,31,0.1979430290589016,835,149,small,0.0012533731694680842,0.12088641001532276,idw,0.8520996129579657,2,True,False,COMPLETE
58,811.2050361157329,0.9664862267275192,False,False,False,False,False,True,True,True,False,True,none,0.06738677386447962,8,25,0.2592587376536319,756,51,small,1.0467026861464602e-05,0.0032826376906346807,distance_n_turbines,0.7572469720144015,2,True,False,COMPLETE
59,746.5050196536008,0.9407875267397107,True,False,False,False,False,True,True,True,False,True,large,0.12501094328447704,4,21,0.3546324373025972,966,72,small,5.049943528294427e-07,0.030281318045260984,max,0.6839137522589986,2,True,False,COMPLETE
60,786.0656162362108,0.7814664211787804,True,False,True,False,False,True,True,True,True,True,none,0.05413926628125517,5,48,0.39044394937274207,894,117,small,2.0457831767666507e-06,3.2335990873908574e-05,None,0.914550974626017,2,True,True,COMPLETE
61,713.5135030393576,0.7634934064827041,True,False,True,False,False,True,True,True,False,False,large,0.028679240752100724,6,28,0.24208130315003104,944,79,large,3.4179495342303795e-08,0.009807778730830923,None,0.8137235773640549,2,True,False,COMPLETE
62,699.0853065576363,0.7502705465419918,True,False,True,False,False,True,True,False,False,True,large,0.019122864206057164,6,36,0.28926999393803826,917,60,small,1.9681093637379004e-08,0.014954790166620898,None,0.8629458172507017,2,True,False,COMPLETE
63,719.1229151798776,0.7997551056323907,True,False,True,False,False,True,True,True,False,True,large,0.017921836334579323,7,37,0.28854392828417785,1000,57,small,2.416580672150312e-07,0.015067461156720864,None,0.8670276470454076,2,True,False,COMPLETE
64,699.8334698945126,0.7480282962603346,True,False,True,False,False,True,True,True,False,True,large,0.023501874748096358,6,33,0.3343061548610955,904,61,small,0.00018894696500385976,0.19912556778842808,None,0.8353481175338591,2,True,False,COMPLETE
65,734.1290681684465,0.711078885886708,True,False,False,False,False,True,True,True,False,True,large,0.09569417937847328,5,41,0.3081578746920583,494,88,small,9.264804900559734e-08,0.06837191487491256,None,0.8899205791181858,0,True,True,COMPLETE
66,709.4503634508023,0.7801721060894897,True,False,False,False,False,True,True,True,False,True,none,0.01028246020378689,6,27,0.21696370644734772,855,142,small,1.8713719677648263e-07,0.4981767387505115,None,0.7774406626284528,2,False,False,COMPLETE
67,788.4037648859088,0.8243486375410015,True,False,True,False,False,True,False,False,False,True,large,0.08282572383814575,10,44,0.2708861143225747,817,46,small,3.6897997417752025e-05,0.004369517302951019,distance_capacity,0.8387701598785773,2,True,True,COMPLETE
68,680.2157247617321,0.8809174140161483,True,True,False,True,True,True,False,True,False,True,none,0.0429145471714848,4,31,0.19353080365585312,794,54,small,6.635582292756135e-07,0.001027321451667026,None,0.9663263133124842,2,False,True,COMPLETE
69,718.7095842730172,0.8782566774859789,False,True,False,True,True,True,False,True,False,True,none,0.045704399116574874,4,19,0.1664488118296483,699,53,small,6.44576050657661e-07,0.0008298384144487226,None,0.9821666931932731,2,False,True,COMPLETE
