number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
52,589.8005256695016,medium,0.5225259800488592,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010002456016082954,10,28,0.4738649179726819,565,16,medium,7.6232750575826e-08,8.727616012837334e-08,short,distance_energy,0.6718007129282045,none,False,COMPLETE
53,636.6107134193923,medium,0.5206293608465857,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.13783213145891302,10,27,0.4383445623849122,556,14,medium,7.006980159212441e-08,1.534680465012206e-07,short,distance_energy,0.6409548902977891,none,False,COMPLETE
54,598.1905012839466,small,0.5886268747758006,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010273332616085994,9,17,0.4789546635887066,491,24,medium,1.2932147549319129e-07,5.4559566692035885e-08,short,max,0.705896730584415,none,False,COMPLETE
55,593.8930061896802,medium,0.5226821112723902,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.013678306210997386,12,41,0.40937914727089325,430,28,medium,3.5565888604178756e-07,1.4602504732867145e-05,short,distance_energy,0.6797042437580982,none,False,COMPLETE
56,595.7635421935379,medium,0.5408415530716235,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.018357841680485626,13,40,0.40955739175536554,391,29,medium,3.5111582132201786e-07,1.2951989782559248e-05,short,distance_energy,0.6793347955960556,none,False,COMPLETE
57,584.4517274592596,medium,0.5219653350945639,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.01193511921651173,12,48,0.37400055067207205,490,10,small,2.166226533356369e-08,4.8221152987861886e-05,none,distance_energy,0.5963133309404183,none,False,COMPLETE
58,616.1856746624695,medium,0.7324458739377501,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.011500017042741652,14,50,0.3730245468630413,495,19,small,2.0093091193750243e-08,7.648147700031455e-05,none,distance_energy,0.6049776929179643,none,False,COMPLETE
59,618.443705913471,small,0.8377977532590054,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.015430407513510517,11,30,0.4308267396036998,559,17,small,5.270504072964041e-08,4.2928858175770524e-05,none,distance_energy,0.5607992150517382,none,False,COMPLETE
60,626.1190708523849,medium,0.5030495538977898,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.22167554830738045,16,19,0.39015737649757926,622,10,small,2.12318609419957e-08,2.8008331885785223e-06,none,distance_energy,0.6324393511671371,none,False,COMPLETE
61,587.8211545960396,medium,0.5247780117074298,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.011962860669033916,12,46,0.47669904229305937,425,37,medium,9.256511641480099e-08,4.3235495594807504e-07,none,distance_energy,0.593676252451516,none,False,COMPLETE
62,593.9255089071885,medium,0.5469419404453372,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.012147457305225016,12,45,0.4469175849656865,457,38,small,8.964090415795641e-08,3.4691488229186066e-07,none,distance_energy,0.5969550819559354,none,False,COMPLETE
63,583.614168848548,medium,0.523201375798233,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010859196295803385,13,35,0.47857158143928835,353,21,medium,4.16741366069118e-08,6.132604302184258e-07,none,distance_population,0.5345556531881963,none,False,COMPLETE
64,611.6886459330107,medium,0.666558255144601,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.01436092380740866,13,38,0.4748416899704556,330,21,medium,0.5746884919620746,6.221760392831352e-08,none,distance_population,0.5285713219876542,none,False,COMPLETE
65,598.4877083448943,medium,0.54873416327322,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.010071114334709665,14,33,0.4818269301698882,359,14,medium,5.044785478124475e-08,4.893209726374318e-07,none,distance_population,0.5713182954305183,none,False,COMPLETE
66,554.9459681478861,medium,0.5189073062208769,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.011549836438909694,15,45,0.29614945719302355,366,37,small,1.3834826124401046e-07,0.00036631469240234376,none,None,0.6533420644369022,none,False,COMPLETE
67,547.1802640050668,medium,0.5024796532793204,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.018976595013596578,15,45,0.28497582522173864,304,52,small,1.3081641085239223e-07,0.00047607370575783475,none,None,0.533242013371604,none,False,COMPLETE
68,606.8526876536058,small,0.5034345497246906,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,0.01996908360872752,15,46,0.29648445660996203,363,34,small,1.329667137092619e-07,0.00038941278317407274,none,None,0.5332657944101359,small,True,COMPLETE
69,589.9136537522149,medium,0.5880827989069082,False,False,False,True,True,False,False,True,True,False,True,False,False,True,True,True,True,0.01676247373787828,15,61,0.2595637457820748,307,52,small,0.005744126942826464,0.00025518318161371286,none,None,0.5008606455702614,none,False,COMPLETE
