number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
13,2578.5908203125,none,0.5049680081184423,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.017895961557113343,7,3,501,none,1.2016045041270634e-08,0.9841563643011931,long,energy,0.5115773756203814,medium,True,COMPLETE
14,2655.941162109375,none,0.5023767663464191,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.018215431378178805,6,3,735,none,1.7525966207814566e-07,0.0802515413802968,long,energy,0.5859311418779808,medium,True,COMPLETE
15,2758.626708984375,none,0.5106176864101266,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.019302309048661214,5,3,562,none,2.801489530250637e-07,1.0564938458669195e-08,long,None,0.5712121593270761,medium,True,COMPLETE
16,2863.447265625,none,0.6475228185169658,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.023947327799481062,7,7,978,none,1.928774604495572e-05,2.4279413073668582e-05,long,population,0.7079652711343403,small,True,COMPLETE
17,2671.322265625,none,0.7892605347152525,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.014471410988580796,5,3,417,none,9.109637824263949e-08,0.10001362873492392,long,energy,0.569898969938319,medium,True,COMPLETE
18,2632.634033203125,none,0.6745401654380212,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,0.048288279405916776,9,2,436,none,2.6357859358067728e-06,0.0019165621842437556,long,energy,0.5018897149303165,medium,True,COMPLETE
19,2821.744140625,medium,0.5624505400606981,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.02644092934590286,7,6,731,none,0.0006527441376089842,4.441682705598906e-07,none,population,0.6043194814513758,small,True,COMPLETE
20,2736.1796875,none,0.5536482317713561,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.015633049152166154,9,4,552,none,5.5912830922874125e-08,7.603801805646369e-05,long,None,0.8957739566289009,medium,True,COMPLETE
21,2623.881591796875,none,0.7189707869495555,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.012109106348127195,8,5,509,none,1.094948713450365e-08,0.4104460246647365,long,energy,0.5398226217744034,medium,True,COMPLETE
22,2626.161376953125,none,0.730473964650864,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.014185706790714219,8,4,664,none,1.0220036579252709e-08,0.8163664894185366,long,energy,0.5366971979342978,medium,True,COMPLETE
23,2660.134765625,none,0.8006020583454775,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.0184247351838432,6,6,420,none,6.496117531870945e-07,0.10544794483517418,long,energy,0.5021168904974517,medium,True,COMPLETE
24,2834.331298828125,none,0.6506452646761018,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.012914067659465974,7,2,565,none,4.819388254564104e-08,0.041525271692055485,long,idw,0.6252486768695907,medium,True,COMPLETE
25,2616.970947265625,none,0.6891015336607202,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.028823381217947162,9,5,503,none,3.974058914182217e-06,0.37762625230887514,long,energy,0.5589183471062359,medium,True,COMPLETE
26,2646.152099609375,medium,0.8279957640563949,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,0.020450263517608362,8,7,666,none,4.092387065956742e-08,0.030324635832469422,none,energy,0.6813180143513587,medium,True,COMPLETE
27,2720.3583984375,none,0.7516203472948381,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.016561884869791973,4,2,390,none,0.0001899449262641049,0.273820466944487,long,energy,0.7179797067958721,small,True,COMPLETE
28,2619.219970703125,none,0.9234517630534096,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.010673540125100934,7,4,467,small,4.0337613726629876e-07,0.0015482923135387088,long,energy,0.5329510649630259,none,True,COMPLETE
29,2881.766845703125,medium,0.6401287516065559,True,False,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,0.022512104414329923,8,5,610,none,0.005856188111885002,0.030264417519835364,none,distance_population,0.6176175993578952,medium,True,COMPLETE
30,2908.458984375,none,0.5531046486913727,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.04367643667893722,6,6,867,medium,3.088908214475096e-08,5.108526795748e-07,long,mean,0.5928723254134274,medium,True,COMPLETE
31,2607.340087890625,none,0.7001598078170199,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.03104553178714945,9,5,507,none,2.00087575448074e-06,0.3495392374237364,long,energy,0.5548226815852755,medium,True,COMPLETE
32,2605.802490234375,none,0.7511741041855886,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.02400955889321401,9,3,472,none,8.346702259930206e-06,0.6327297568476037,long,energy,0.5478656267840778,medium,True,COMPLETE
33,2603.806396484375,none,0.6752668989135667,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.06189403718948503,9,3,553,none,1.626468708401226e-05,0.272692692997277,long,energy,0.5566630932089486,medium,True,COMPLETE
34,2704.844970703125,none,0.5969743646149979,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,0.06354563271669832,10,1,569,small,3.223466269699814e-05,0.23746885702824352,long,distance_energy,0.6491337380779548,medium,True,COMPLETE
35,2814.436279296875,none,0.7489041649090034,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,0.0658833756900934,9,3,595,none,7.597537811151876e-06,0.03233978734401756,none,idw,0.5742208127259341,none,False,COMPLETE
36,2928.8828125,medium,0.6290610230482525,False,True,True,False,False,False,True,True,True,False,False,False,True,False,True,True,False,0.11316144084942505,10,1,445,small,6.697264035636118e-05,0.0037813928868772246,long,mean,0.6010603059689892,medium,True,COMPLETE
37,2851.9384765625,none,0.6794534548053376,True,False,False,True,False,True,True,False,False,True,True,True,False,False,False,True,False,0.035407610220782725,9,2,383,none,2.1175032382307717e-06,0.0643302825977665,long,max,0.545259120230299,medium,False,COMPLETE
38,2798.143798828125,small,0.9502239946533203,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,0.049679725323536636,10,3,533,medium,0.00025716510066491565,0.022668700782631248,long,None,0.6399893531841265,none,True,COMPLETE
39,2860.307861328125,none,0.8281879697080003,True,True,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,0.029285434520783474,9,2,631,none,0.003692569685406065,0.21537866922751694,short,distance_population,0.7493572013760809,small,True,COMPLETE
40,2911.460693359375,small,0.8604851335788226,True,False,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,0.09976033241792727,3,8,693,small,1.2732165969412948e-05,0.000279599306022968,none,population,0.675680911815601,medium,False,COMPLETE
41,2660.653076171875,none,0.668007483913272,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.03779909547239473,8,4,465,none,1.1799072359644523e-06,0.4687041320818994,long,energy,0.5286945271372878,medium,True,COMPLETE
42,2593.999755859375,none,0.7700250305984264,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.023941667443983128,9,4,475,none,3.926173344676777e-05,0.15575697813284056,long,energy,0.5542575947667691,medium,True,COMPLETE
43,2580.68212890625,none,0.7878176306788552,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.025137537688853327,9,3,340,none,5.3254104441487226e-05,0.22180185950318512,long,energy,0.5599954356699133,medium,True,COMPLETE
44,2596.943359375,none,0.7997380114467502,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.024176175746545833,10,3,328,none,5.602379149285499e-05,0.013484581160548433,long,energy,0.5225519380958354,medium,True,COMPLETE
45,2756.019775390625,none,0.7958824396588021,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,0.05811471237643365,10,3,320,medium,6.893161859801378e-05,0.010182785879177647,short,max,0.5206013237605378,medium,True,COMPLETE
46,2783.416015625,small,0.8082456341059394,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,0.22351391468622406,10,4,345,none,0.000995029736590782,0.14441884932786653,long,energy,0.8894879561290698,none,False,COMPLETE
47,2738.212646484375,none,0.7709551670869251,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,0.07631373410117398,10,2,366,none,3.4699611670033025e-05,0.015277118422875567,long,distance_energy,0.5841429598031471,medium,True,COMPLETE
48,2650.328857421875,medium,0.8847784567637288,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0.04236736214211475,10,3,323,none,0.00021871299024498313,0.003913659843226548,long,energy,0.6143033849865158,medium,True,COMPLETE
49,2771.332763671875,none,0.8512911219558649,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,0.02580561323049829,9,1,402,medium,0.0016670569078216981,0.06715824387393934,short,idw,0.5184454803377408,medium,True,COMPLETE
