date,hard_coal_ampr_actual,lignite_ampr_actual,gas_ampr_actual,biomass_ampr_actual,pumped_storage_ampr_actual,hydro_ampr_actual,other_conv_ampr_actual,other_renew_ampr_actual,hard_coal_ampr_fitted,lignite_ampr_fitted,gas_ampr_fitted,biomass_ampr_fitted,pumped_storage_ampr_fitted,hydro_ampr_fitted,other_conv_ampr_fitted,other_renew_ampr_fitted,hard_coal_ampr_lower,lignite_ampr_lower,gas_ampr_lower,biomass_ampr_lower,pumped_storage_ampr_lower,hydro_ampr_lower,other_conv_ampr_lower,other_renew_ampr_lower,hard_coal_ampr_upper,lignite_ampr_upper,gas_ampr_upper,biomass_ampr_upper,pumped_storage_ampr_upper,hydro_ampr_upper,other_conv_ampr_upper,other_renew_ampr_upper,cutoff,hours_ahead
2026-03-02 10:00:00+00:00,280.16003,1796.81,1653.72,780.75,4.283595e-06,135.87,696.85,53.16,936.0002400216401,3138.1625026572915,2530.486011792598,743.525890931008,188.1000032066163,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,58
2026-03-02 11:00:00+00:00,272.71002,1745.39,1589.92,780.75,4.283595e-06,135.74,695.95,53.16,915.2166578900258,3099.825575393623,2435.5783368952157,741.9515042792328,194.61808743982522,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,59
2026-03-02 12:00:00+00:00,287.90002,1712.7198,1577.99,780.75,14.999989,135.87,724.01,53.16,919.1836315191156,3101.1099416875913,2438.2468275477136,742.5228990177784,201.13617167303414,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,60
2026-03-02 13:00:00+00:00,805.75,1722.9102,1708.27,780.75,65.14001,135.87,704.62,53.16,941.7746880674532,3171.780362880531,2541.552223078248,746.2009028702346,207.6542559062431,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,61
2026-03-02 14:00:00+00:00,1424.72,2440.26,2179.93,780.75,83.35,135.87,700.57,54.16,1011.3584356223499,3364.563930862285,2843.1192656867647,754.1002193139097,214.17234013945202,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,62
2026-03-02 15:00:00+00:00,1857.9099,4245.1,3527.54,780.75,212.98,135.87,732.39,57.16,1114.318833379581,3622.0387276058973,3287.185758497906,765.3770574305237,220.69042437266097,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,63
2026-03-02 16:00:00+00:00,2441.01,4692.98,4216.91,781.92,1152.03,135.48,757.55,57.16,1236.120047012494,3825.6114089016646,3789.9689939098316,777.4019436336874,227.2085086058699,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,64
2026-03-02 17:00:00+00:00,2535.24,4736.85,4583.38,782.56,1178.1951,136.81,843.68,57.16,1269.2742347325593,3845.40741178969,3935.5155432083725,782.3424723473638,233.72659283907882,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,65
2026-03-02 18:00:00+00:00,2541.6,4720.84,4485.64,782.56,1204.36,136.72,792.74,57.16,1238.370345567616,3771.5236404922966,3833.2389643722927,782.8190709817798,240.24467707228777,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,66
2026-03-02 19:00:00+00:00,2461.04,4751.54,4265.17,782.56,399.97,136.81,745.12,56.91,1185.4855534305693,3669.121140281054,3639.3465148920945,781.1424103614137,246.7627613054967,108.84570754270989,611.1734922603692,50.285571513668906,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,2026-02-28 00:00:00+00:00,67
